GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example,Contacto,0,42,0,2,0,13,0,6,0,5
demo,com.example,BandejaDeSalida,0,32,0,0,0,10,0,5,0,5
demo,com.example,Filtros,0,112,3,11,0,13,3,21,0,17
demo,com.example,Usuario,0,33,0,2,0,9,0,4,0,3
demo,com.example,Correo,0,44,0,0,0,16,0,10,0,10
demo,com.example,BandejaDeEntrada,0,32,0,0,0,11,0,5,0,5
